parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,property_type,land_value,improvement_value,development_status
29004456,"S Walter Reed Dr, Arlington VA 22206",Fairlington,RA14-26,False,640-Not Valued Condo (H.O.A.),100.0,0.0,unknown
29005PCA,,Fairlington,RA14-26,False,,,,unknown
29004PCA,,Fairlington,RA14-26,False,,,,unknown
29005PCB,,Fairlington,RA14-26,False,,,,unknown
29003PCE,,Fairlington,RA14-26,False,,,,unknown
29010PCA,,Fairlington,RA14-26,False,,,,unknown
29009PCA,,Fairlington,RA14-26,False,,,,unknown
29006PCA,,Fairlington,RA14-26,False,,,,unknown
29018003,"4510 31St St S, Arlington VA 22206",Fairlington,RA14-26,True,311-Apartment - Garden,12776000.0,7051100.0,unknown
29018PCA,,Fairlington,RA14-26,False,,,,unknown
29003019,,Fairlington,RA14-26,True,,1480300.0,0.0,unknown
30006PCA,,Fairlington,RA14-26,False,,,,unknown
30005PCA,,Fairlington,RA14-26,False,,,,unknown
30012001,"3308 S Stafford St, Arlington VA 22206",Fairlington,S-3A,False,215-Gen Comm - other,,,unknown
30017PCA,,Fairlington,RA14-26,False,,,,unknown
30003PCB,,Fairlington,RA14-26,True,,,,unknown
30020PCA,,Fairlington,RA14-26,True,,,,unknown
29008PCA,,Fairlington,RA14-26,False,,,,unknown
29007PCA,,Fairlington,RA14-26,False,,,,unknown
29012PCA,,Fairlington,RA14-26,False,,,,unknown
29011PCA,,Fairlington,RA14-26,False,,,,unknown
30004PCA,,Fairlington,RA14-26,False,,,,unknown
30016PCA,,Fairlington,RA14-26,False,,,,unknown
30008001,"3191 S Utah St, Arlington VA 22206",Fairlington,S-3A,True,200-GenCom VacLand-no siteplan,,,unknown
30021PCA,,Fairlington,RA14-26,False,,,,unknown
30013PCA,,Fairlington,RA14-26,False,,,,unknown
30015PCA,,Fairlington,RA14-26,False,,,,unknown
30019PCA,,Fairlington,RA14-26,False,,,,unknown
30014PCA,,Fairlington,RA14-26,False,,,,unknown
30018PCA,,Fairlington,RA14-26,False,,,,unknown
30003PCA,,Fairlington,RA14-26,True,,,,unknown
29003010,"4201 31St St S, Arlington VA 22206",Fairlington,RA6-15,True,313-Apartment - High-rise,,,unknown
29015008,,Fairlington,RA14-26,True,,100.0,0.0,unknown
29015016,,Fairlington,S-3A,True,,1244900.0,0.0,unknown
29013PCA,,Fairlington,RA14-26,True,,,,unknown
29003009,,Fairlington,RA14-26,True,,19001400.0,12535300.0,unknown
29015017,,Fairlington,C-O-1.0,True,,3115200.0,1976200.0,unknown
29015020,,Fairlington,C-1,True,,1671100.0,1641900.0,unknown
29015002,,Fairlington,P-S,True,,186300.0,104200.0,unknown
29015018,,Fairlington,C-1,True,,1430000.0,1000.0,unknown
29015029,,Fairlington,RA14-26,False,,445000.0,318600.0,unknown
29015028,,Fairlington,RA14-26,False,,445000.0,323000.0,unknown
29015030,,Fairlington,RA14-26,False,,445000.0,327000.0,unknown
29015027,,Fairlington,RA14-26,False,,445000.0,331900.0,unknown
29015026,"4712 31St St S, Arlington VA 22206",Fairlington,RA14-26,False,512-Townhouse (fee simple own),445000.0,390800.0,unknown
29015025,"4710 31St St S, Arlington VA 22206",Fairlington,RA14-26,False,512-Townhouse (fee simple own),445000.0,269600.0,unknown
29015024,,Fairlington,RA14-26,False,,445000.0,295800.0,unknown
29015023,,Fairlington,RA14-26,False,,445000.0,325200.0,unknown
29015022,,Fairlington,RA14-26,False,,445000.0,290200.0,unknown
29015021,,Fairlington,RA14-26,False,,445000.0,288800.0,unknown
29015031,,Fairlington,RA14-26,True,,100.0,0.0,unknown
29015007,"3035 S Abingdon St, Arlington VA 22206",Fairlington,S-3A,True,215-Gen Comm - other,,,unknown
